Status,FeatureType,PropertyName,Borough,Longitude,Latitude
Activated,Misting Station,Newtown Barge Playground,Brooklyn,"995,395.47","207,417.26"
Activated,Hydrant Spray Cap,Randall's Island Park,Manhattan,"1,002,274.66","224,781.69"
Activated,Hydrant Spray Cap,Randall's Island Park,Manhattan,"1,002,486.58","224,686.98"
Activated,Misting Station,Rockaway Beach Boardwalk,Queens,"1,031,524.87","150,386.39"
Activated,Misting Station,Rockaway Beach Boardwalk,Queens,"1,031,865.85","150,522.13"
Activated,Hydrant Spray Cap,Randall's Island Park,Manhattan,"1,003,188.50","224,495.35"
Activated,Misting Station,Rockaway Beach Boardwalk,Queens,"1,032,232.75","150,656.45"
Activated,Misting Station,Sgt. William Dougherty Playground,Brooklyn,"1,001,687.04","202,975.07"
Activated,Misting Station,Rockaway Beach Boardwalk,Queens,"1,032,462.06","150,742.99"
Activated,Misting Station,Rockaway Beach Boardwalk,Queens,"1,032,895.04","150,914.85"
Activated,Misting Station,Rockaway Beach Boardwalk,Queens,"1,033,216.37","151,033.35"
Activated,Misting Station,Rockaway Beach Boardwalk,Queens,"1,033,485.90","151,122.96"
Activated,Misting Station,Rockaway Beach Boardwalk,Queens,"1,035,310.46","151,793.47"
Activated,Misting Station,Rockaway Beach Boardwalk,Queens,"1,036,272.10","152,095.63"
Activated,Misting Station,Rockaway Beach Boardwalk,Queens,"1,036,587.77","152,198.13"
Activated,Misting Station,Rockaway Beach Boardwalk,Queens,"1,037,156.39","152,460.59"
Activated,Misting Station,Rockaway Beach Boardwalk,Queens,"1,037,527.01","152,640.39"
Activated,Misting Station,Rockaway Beach Boardwalk,Queens,"1,038,021.32","152,809.20"
Activated,Misting Station,Rockaway Beach Boardwalk,Queens,"1,038,272.48","152,832.32"
Activated,Misting Station,Rockaway Beach Boardwalk,Queens,"1,038,516.18","152,859.87"
Activated,Misting Station,Rockaway Beach Boardwalk,Queens,"1,038,852.85","152,893.28"
Activated,Misting Station,Rockaway Beach Boardwalk,Queens,"1,039,215.73","152,927.64"
Activated,Misting Station,Rockaway Beach Boardwalk,Queens,"1,039,519.68","152,932.78"
Activated,Misting Station,Rockaway Beach Boardwalk,Queens,"1,046,825.17","154,877.51"
Activated,Misting Station,Beach 17 Playground,Queens,"1,053,653.09","155,881.01"
Activated,Hydrant Spray Cap,Randall's Island Park,Manhattan,"1,004,724.21","224,812.24"
Activated,Drinking Fountain Spray Adapter,Flushing Meadows Corona Park,Queens,"1,027,948.59","210,229.95"
